id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
10029,get-even,Get Even,75,6/20/2017,FALSE,9/17/2019 6:24,http://www.getevengame.com/en/,3.65,4,3,106,72,454,0,72,PC||Xbox One||PlayStation 4,BANDAI NAMCO Entertainment America||The Farm 51,Action||Adventure||Indie,Bandai Namco Entertainment||BANDAI NAMCO Entertainment US,,55,483,41,28,14,2
100291,the-story-of-my-hanok,The Story of my Hanok,,11/17/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,89,0,0,PC,TeamGlowBox,,,,0,0,0,0,0,0
100292,little-pieces,Little Pieces,,4/23/2018,FALSE,8/28/2019 23:25,,0,0,0,0,0,27,0,0,PC,Samuel Sousa,Puzzle,,,0,0,0,0,0,0
100293,click-for-speed,Click for Speed,,4/25/2018,FALSE,1/9/2019 12:41,,0,0,0,0,0,65,0,0,PC||Android||Web,Borodar,Racing,,,0,0,0,0,0,0
100294,rpg-tycoon-itch,RPG Tycoon (itch),,7/3/2014,FALSE,1/9/2019 12:41,,0,0,0,0,0,201,0,0,PC||macOS,Skatanic Studios,Adventure||Strategy||Simulation,,,0,0,0,0,0,0
100295,cowboygame-wip-title,CowboyGame (WIP Title),,8/19/2015,FALSE,1/9/2019 12:41,,0,0,0,0,0,79,0,0,PC,CiaranEvans,Adventure,,,0,0,0,0,0,0
100296,depression-presented-ludically-in-the-form-of-a-vi,"Depression, Presented Ludically, In The Form Of A Videogame",,10/16/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,21,0,0,PC,videodante,,,,0,0,0,0,0,0
100297,septic-savages-itch,Septic Savages (itch),,10/20/2016,FALSE,1/9/2019 12:41,,0,0,0,0,0,148,0,0,PC||macOS||Linux,Jenito,Action,,,0,0,0,0,0,0
100298,bloon-blast,B'loon Blast,,7/16/2017,FALSE,1/9/2019 12:41,,0,0,0,0,0,66,0,0,PC||Web,JunoStriker,Action,,,0,0,0,0,0,0
100299,displaceable-source,Displaceable source,,7/31/2017,FALSE,1/9/2019 12:41,,0,0,0,0,0,84,0,0,PC,Holy Black Cat,Platformer,,,0,0,0,0,0,0
1003,royal-defense-ultimate-collection,Royal Defense Ultimate Collection,,10/19/2016,FALSE,8/2/2019 16:21,,0,0,0,0,0,109,0,0,PS Vita,8Floor,,,Everyone 10+,0,0,0,0,0,0
10030,drums-hero,Drums Hero,,3/23/2017,FALSE,8/28/2019 22:14,,0,0,1,0,0,223,0,0,PC,Player Of Music Technology,Action||Simulation||Sports||Casual||Indie,Player Of Music Technology,,0,4,0,0,0,0
